60.21254,80.05592
60.63847,82.9948
61.55157,85.85241
62.44561,88.71596
63.29308,91.59377
64.12679,94.47559
64.95592,97.35874
65.78189,100.2428
66.60699,103.1271
67.43153,106.0116
68.25587,108.8961
69.08012,111.7806
69.90431,114.6652
70.72849,117.5498
71.55267,120.4344
72.37683,123.3189
73.201,126.2035
73.50407,129.0957
73.02271,131.9538
72.42815,134.8269
71.61678,137.5149
71.34529,140.4449
70.59731,143.0504
69.81762,145.6381
70.64922,148.3725
72.78455,150.4772
75.00436,152.4931
77.2168,154.5001
79.23132,156.723
80.98283,159.1584
82.42651,161.7853
83.66624,164.5156
84.68468,167.3368
85.6409,170.1801
86.52142,173.048
87.3723,175.9248
88.21286,178.8046
89.04446,181.687
89.87319,184.5703
90.69919,187.4544
91.52431,190.3387
92.34895,193.2231
93.17334,196.1076
93.99762,198.9921
94.82185,201.8767
95.64603,204.7612
96.47021,207.6458
97.29437,210.5303
98.11854,213.4149
98.9427,216.2994
99.76685,219.184
